id,list_category,original_entry,common_name,cultivar,crop_type,scientific_name,species_key,family,confidence,note,taxon_id,status
GH-001,Leafy Greens,Arugula,Arugula,(not given),Salad rocket,Eruca vesicaria subsp. sativa,Eruca vesicaria,Brassicaceae,High,Cultivar not recorded.,eruca-vesicaria,current
GH-002,Leafy Greens,Chinese Cabbage,Chinese cabbage (napa),(not given),Heading,Brassica rapa subsp. pekinensis,Brassica rapa,Brassicaceae,High,Cultivar not recorded.,brassica-rapa,current
GH-035,Veggies,"Pak Choi, Dwarf",Pac choi (bok choy),(not given; dwarf type),Pac choi,Brassica rapa subsp. chinensis,Brassica rapa,Brassicaceae,Check,Cultivar not recorded. May duplicate one of the named pac chois.,brassica-rapa,current
GH-036,Veggies,"Pac Choi, Joi Choi",Pac choi (bok choy),Joi Choi F1,Pac choi,Brassica rapa subsp. chinensis,Brassica rapa,Brassicaceae,High,,brassica-rapa,current
GH-037,Veggies,"Pac Choi, Little Shanghai",Pac choi (bok choy),Little Shanghai,Green-stem (Shanghai),Brassica rapa subsp. chinensis,Brassica rapa,Brassicaceae,High,,brassica-rapa,current
GH-038,Veggies,"Pac Choi,Wi-Win  Choi",Pac choi (bok choy),Win-Win Choi F1,Pac choi,Brassica rapa subsp. chinensis,Brassica rapa,Brassicaceae,High,Typo 'Wi-Win' → Win-Win.,brassica-rapa,current
GH-051,Veggies,"Turnips, Hakuren",Turnip,Hakurei (probable),Salad turnip,Brassica rapa subsp. rapa,Brassica rapa,Brassicaceae,Check,'Hakuren' is probably 'Hakurei'. Check packet.,brassica-rapa,current
GH-052,Veggies,"Turnips, Hirosaki Red",Turnip,Hirosaki Red,Red Japanese turnip,Brassica rapa subsp. rapa,Brassica rapa,Brassicaceae,High,,brassica-rapa,current
GH-003,Leafy Greens,"Cilantro, Santo",Cilantro,Santo,Leaf,Coriandrum sativum,Coriandrum sativum,Apiaceae,High,,coriandrum-sativum,current
GH-004,Leafy Greens,"Cilantro, Calypso",Cilantro,Calypso,Leaf,Coriandrum sativum,Coriandrum sativum,Apiaceae,High,,coriandrum-sativum,current
GH-063,Herbs,"Corriander, Cilantro",Cilantro / coriander,(not given),Leaf / seed,Coriandrum sativum,Coriandrum sativum,Apiaceae,Check,Typo 'Corriander'. May duplicate Santo or Calypso under Leafy Greens.,coriandrum-sativum,current
GH-005,Leafy Greens,"Chard, Swish Bright Lights",Swiss chard,Bright Lights,Leaf beet,Beta vulgaris subsp. vulgaris (Cicla Group),Beta vulgaris,Amaranthaceae,High,Typo 'Swish' → Swiss.,beta-vulgaris,current
GH-006,Leafy Greens,"Chard, Swish Rhubarb Chard",Swiss chard,Rhubarb,Leaf beet,Beta vulgaris subsp. vulgaris (Cicla Group),Beta vulgaris,Amaranthaceae,High,Typo 'Swish' → Swiss.,beta-vulgaris,current
GH-027,Veggies,"Beets, Hybrid Round Red",Beet,(not given; hybrid round red),Root,Beta vulgaris subsp. vulgaris (Conditiva Group),Beta vulgaris,Amaranthaceae,High,Cultivar name not recorded. Same species as chard.,beta-vulgaris,current
GH-007,Leafy Greens,Collards,Collards,(not given),Leaf,Brassica oleracea (Viridis Group),Brassica oleracea,Brassicaceae,High,Cultivar not recorded.,brassica-oleracea,current
GH-033,Veggies,Kohlrabi,Kohlrabi,(not given),Swollen stem,Brassica oleracea (Gongylodes Group),Brassica oleracea,Brassicaceae,High,Cultivar not recorded.,brassica-oleracea,current
GH-008,Leafy Greens,Fennel. Dragon,Florence (bulb) fennel,Dragon F1,Bulb,Foeniculum vulgare (Azoricum Group),Foeniculum vulgare,Apiaceae,High,"Listed twice (also under Herbs). 'Dragon' is a bulb fennel, not tarragon.",foeniculum-vulgare,current
GH-066,Herbs,Fennel. Dragon,Florence (bulb) fennel,Dragon F1,Bulb,Foeniculum vulgare (Azoricum Group),Foeniculum vulgare,Apiaceae,High,DUPLICATE of the Leafy Greens entry.,foeniculum-vulgare,current
GH-082,Medicinal,"Fennel, Preludio Bulb",Florence (bulb) fennel,Preludio,Bulb,Foeniculum vulgare (Azoricum Group),Foeniculum vulgare,Apiaceae,High,"A second bulb fennel, distinct from Dragon.",foeniculum-vulgare,current
GH-009,Leafy Greens,Leeks,Leek,(not given),Stem,Allium ampeloprasum (Porrum Group),Allium ampeloprasum,Amaryllidaceae,High,Cultivar not recorded.,allium-ampeloprasum,current
GH-010,Leafy Greens,"Spinach, Smooth Leaf Flamingo",Spinach,Flamingo,Smooth-leaf,Spinacia oleracea,Spinacia oleracea,Amaranthaceae,High,,spinacia-oleracea,current
GH-011,Leafy Greens,"Spinach, Savoyed Sunangel",Spinach,Sunangel,Savoyed,Spinacia oleracea,Spinacia oleracea,Amaranthaceae,High,,spinacia-oleracea,current
GH-012,Leafy Greens,Lettuce Buttercruch Bibb,Lettuce,Buttercrunch,Butterhead (Bibb),Lactuca sativa,Lactuca sativa,Asteraceae,High,Typo 'Buttercruch' → Buttercrunch.,lactuca-sativa,current
GH-013,Leafy Greens,Lettuce Butterhead Rex,Lettuce,Rex,Butterhead,Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-014,Leafy Greens,Lettuce Green Butter Salanova,Lettuce,Salanova Green Butter,Butterhead (Salanova),Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-015,Leafy Greens,"Lettuce, Green Oakleaf Salanova",Lettuce,Salanova Green Oakleaf,Oakleaf (Salanova),Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-016,Leafy Greens,"Lettuce, Green Sweet Crisp Salanova",Lettuce,Salanova Green Sweet Crisp,Crisp (Salanova),Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-017,Leafy Greens,Lettuce  Crispiro Iceberg,Lettuce,Crispino (probable),Iceberg,Lactuca sativa,Lactuca sativa,Asteraceae,Check,'Crispiro' is probably 'Crispino' iceberg. Check packet.,lactuca-sativa,current
GH-018,Leafy Greens,"Lettuce, Red Oak Leaf Salanova",Lettuce,Salanova Red Oakleaf,Oakleaf (Salanova),Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-019,Leafy Greens,Lettuce Outrageous,Lettuce,Outredgeous (probable),Red romaine,Lactuca sativa,Lactuca sativa,Asteraceae,Check,"Probably 'Outredgeous', the red romaine grown on the ISS in NASA's Veggie system. Good story for a MARS greenhouse.",lactuca-sativa,current
GH-020,Leafy Greens,Lettuce Red Butter Solanova,Lettuce,Salanova Red Butter,Butterhead (Salanova),Lactuca sativa,Lactuca sativa,Asteraceae,High,Typo 'Solanova' → Salanova.,lactuca-sativa,current
GH-021,Leafy Greens,"Lettuce, Waldmann's Dark Green",Lettuce,Waldmann's Dark Green,Green leaf,Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-022,Leafy Greens,"Lettuce, Romaine Coastal Star",Lettuce,Coastal Star,Romaine,Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-023,Leafy Greens,Lettuce Romaine Dragoon,Lettuce,Dragoon,Romaine,Lactuca sativa,Lactuca sativa,Asteraceae,High,,lactuca-sativa,current
GH-024,Leafy Greens,Lettuce Romane Sunland,Lettuce,Sunland,Romaine,Lactuca sativa,Lactuca sativa,Asteraceae,High,Typo 'Romane' → Romaine.,lactuca-sativa,current
GH-025,Veggies,"Bean, Pole",Common bean,(not given),Pole,Phaseolus vulgaris,Phaseolus vulgaris,Fabaceae,Check,Cultivar not recorded. Assumed common bean; confirm it isn't a runner or yard-long bean.,phaseolus-vulgaris,current
GH-026,Veggies,"Beans, Bush",Common bean,(not given),Bush,Phaseolus vulgaris,Phaseolus vulgaris,Fabaceae,High,Cultivar not recorded.,phaseolus-vulgaris,current
GH-028,Veggies,Cellery Conquistqador,Celery,Conquistador,Stalk,Apium graveolens var. dulce,Apium graveolens,Apiaceae,High,Typos 'Cellery' and 'Conquistqador'.,apium-graveolens,current
GH-029,Veggies,"Celery, Kelvin",Celery,Kelvin,Stalk,Apium graveolens var. dulce,Apium graveolens,Apiaceae,High,,apium-graveolens,current
GH-030,Veggies,"Cucumbers, Corinto",Cucumber,Corinto,"Slicing, parthenocarpic",Cucumis sativus,Cucumis sativus,Cucurbitaceae,High,,cucumis-sativus,current
GH-031,Veggies,"Eggplant, Orient Express",Eggplant,Orient Express,Asian (long),Solanum melongena,Solanum melongena,Solanaceae,High,,solanum-melongena,current
